EMPLOYER,title,salary,location,submit_date,start_date,status
APPLE INC,DATA SCIENTIST,145000,"CUPERTINO, CA",10/30/2015,11/16/2015,CERTIFIED
MANTHAN SYSTEMS INC,DATA SCIENTIST,100000,"SAN JOSE, CA",10/29/2015,11/9/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,105900,"REDMOND, WA",10/29/2015,4/26/2016,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,120800,"CAMBRIDGE, MA",10/29/2015,4/26/2016,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,121100,"REDMOND, WA",10/29/2015,4/25/2016,CERTIFIED
LYFT INC,DATA SCIENTIST,145000,"SAN FRANCISCO, CA",10/29/2015,11/30/2015,CERTIFIED
AMERICAN EXPRESS COMPANY,DATA SCIENTIST,105000,"NEW YORK, NY",10/27/2015,11/3/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,107100,"REDMOND, WA",10/27/2015,4/23/2016,CERTIFIED
LINKEDIN CORPORATION,DATA SCIENTIST,114358,"MOUNTAIN VIEW, CA",10/27/2015,11/2/2015,CERTIFIED
KENZIE LANE INNOVATION LLC,DATA SCIENTIST,120000,"ATLANTA, GA",10/27/2015,11/9/2015,WITHDRAWN
OPEX ANALYTICS LLC,DATA SCIENTIST,89440,"PALO ALTO, CA",10/26/2015,11/3/2015,CERTIFIED
PAYPAL INC,DATA SCIENTIST,130560,"SAN JOSE, CA",10/26/2015,10/26/2015,WITHDRAWN
WHOOP INC,DATA SCIENTIST,70000,"BOSTON, MA",10/23/2015,11/12/2015,CERTIFIED
ELECTRONIC ARTS INC,DATA SCIENTIST,110000,"REDWOOD CITY, CA",10/22/2015,11/1/2015,CERTIFIED
WORKDAY INC,DATA SCIENTIST,120000,"SAN FRANCISCO, CA",10/22/2015,11/2/2015,CERTIFIED
RECREATIONAL EQUIPMENT INC,DATA SCIENTIST,86362,"KENT, WA",10/21/2015,10/28/2015,CERTIFIED
URBAN ENGINES INC,DATA SCIENTIST,125000,"LOS ALTOS, CA",10/19/2015,11/1/2015,CERTIFIED
BOMBFELL INC,DATA SCIENTIST,101358,"NEW YORK, NY",10/16/2015,11/1/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,114248,"BELLEVUE, WA",10/16/2015,11/2/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,117000,"CAMBRIDGE, MA",10/16/2015,11/2/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,134721,"BELLEVUE, WA",10/15/2015,4/13/2016,CERTIFIED
HOME DEPOT USA INC,DATA SCIENTIST,100000,"ATLANTA, GA",10/14/2015,11/2/2015,CERTIFIED
BOMBFELL INC,DATA SCIENTIST,101358,"NEW YORK, NY",10/14/2015,11/1/2015,CERTIFIED
AFFINITY SOLUTIONS INC,DATA SCIENTIST,120000,"NEW YORK, NY",10/14/2015,10/30/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,132200,"CAMBRIDGE, MA",10/14/2015,4/9/2016,CERTIFIED
FEEDZAI INC,DATA SCIENTIST,80000,"SAN MATEO, CA",10/8/2015,10/19/2015,CERTIFIED
TENET EMPLOYMENT INC,DATA SCIENTIST,112000,"NASHVILLE, TN",10/8/2015,11/2/2015,CERTIFIED
JPMORGAN CHASE & CO,DATA SCIENTIST,120000,"NEW YORK, NY",10/8/2015,10/9/2015,CERTIFIED
JPMORGAN CHASE & CO,DATA SCIENTIST,120000,"NEW YORK, NY",10/6/2015,10/6/2015,WITHDRAWN
CUSTORA INC,DATA SCIENTIST,110000,"NEW YORK, NY",10/5/2015,10/15/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,130000,"MENLO PARK, CA",10/2/2015,10/12/2015,CERTIFIED
INTELLECT DESIGN ARENA INC,DATA SCIENTIST,90000,"JERSEY CITY, NJ",10/1/2015,10/9/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,129500,"REDMOND, WA",10/1/2015,10/12/2015,CERTIFIED
INTEL AMERICA'S,DATA SCIENTIST,115682,"SANTA CLARA, CA",9/30/2015,10/9/2015,CERTIFIED
AIRBNB INC,DATA SCIENTIST,150000,"SAN FRANCISCO, CA",9/29/2015,10/26/2015,CERTIFIED
FV USA LLC,DATA SCIENTIST,110000,"PALO ALTO, CA",9/28/2015,10/1/2015,CERTIFIED
FANATICS RETAIL GROUP FULFILLMENT INC,DATA SCIENTIST,155000,"SUNNYVALE, CA",9/28/2015,10/1/2015,CERTIFIED
IBM CORPORATION,DATA SCIENTIST,85000,"CLEVELAND, OH",9/25/2015,10/2/2015,CERTIFIED
IBM CORPORATION,DATA SCIENTIST,85000,"CLEVELAND, OH",9/24/2015,10/1/2015,CERTIFIED
IBM CORPORATION,DATA SCIENTIST,85000,"CLEVELAND, OH",9/24/2015,10/1/2015,CERTIFIED
