iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.15114846815,0.146594202665,0.422698838248,0.441666666667,0.033028451
10,0.128021831499,0.129597268813,0.494191242181,0.510416666667,0.301208859
20,0.128919130803,0.126782005139,0.549597855228,0.55,0.545232132
30,0.117703989425,0.118990911509,0.630920464701,0.620833333333,0.77871803
40,0.127405726466,0.122718251749,0.542448614835,0.577083333333,1.020173548
50,0.123898236064,0.126105912373,0.558534405719,0.5125,1.247837276
60,0.116742883375,0.119108056649,0.609472743521,0.579166666667,1.476876764
70,0.119661344843,0.122045299119,0.596961572833,0.6,1.701158035
80,0.111453209861,0.111463611434,0.623771224307,0.633333333333,1.9429322
90,0.115797640055,0.115180234402,0.624664879357,0.627083333333,2.169591113
100,0.111249685909,0.113656192169,0.656836461126,0.629166666667,2.394299526
110,0.110293108689,0.112757697751,0.644325290438,0.641666666667,2.615183677
120,0.109951099582,0.111515174287,0.649687220733,0.65,2.850146498
130,0.109168038053,0.114001981484,0.681858802502,0.658333333333,3.072750959
140,0.109048841243,0.113247233096,0.671134941912,0.658333333333,3.294768458
150,0.104147142533,0.108520378253,0.697944593387,0.679166666667,3.520171352
160,0.114219014017,0.117704590505,0.63181411975,0.6,3.75125957
170,0.105968881261,0.110264928433,0.689008042895,0.654166666667,3.984504037
180,0.101817544868,0.108560479701,0.699731903485,0.658333333333,4.208100606
190,0.107854437386,0.113466482681,0.666666666667,0.639583333333,4.423024768
200,0.112514899809,0.122362349321,0.64253798034,0.60625,4.644861929
210,0.103648506883,0.109648374273,0.689008042895,0.66875,4.861806477
220,0.107411585871,0.11096247398,0.648793565684,0.64375,5.11591017
230,0.109872814272,0.116370195139,0.646112600536,0.63125,5.336061235
240,0.107898720287,0.111462630474,0.646112600536,0.647916666667,5.551166224
250,0.105545776709,0.108578263833,0.674709562109,0.652083333333,5.771958495
260,0.10485591645,0.111813330043,0.680071492404,0.63125,5.999388614
270,0.101363986589,0.104922531782,0.688114387846,0.672916666667,6.222516498
280,0.100415728255,0.102561545527,0.666666666667,0.672916666667,6.454654494
290,0.102479934354,0.106422769228,0.677390527256,0.675,6.687051511
300,0.104918712037,0.10947569332,0.682752457551,0.66875,6.913864858
310,0.103204127524,0.106064339804,0.674709562109,0.660416666667,7.130729743
320,0.103077361975,0.104985662143,0.668453976765,0.677083333333,7.362447926
330,0.10304796641,0.105406553055,0.67381590706,0.675,7.592404257
340,0.112116269853,0.116824556554,0.66309204647,0.616666666667,7.824407855
350,0.121339384826,0.132322037387,0.638069705094,0.570833333333,8.050336615
360,0.111850644085,0.120591563404,0.646112600536,0.6,8.267792855
370,0.104238551871,0.104333300416,0.655942806077,0.672916666667,8.494164399
380,0.106027161117,0.106937851332,0.669347631814,0.689583333333,8.720798874
390,0.1080316565,0.117173933702,0.672028596962,0.64375,8.943666265
400,0.100868339601,0.104568384512,0.697050938338,0.675,9.159552726
410,0.105821405746,0.114201452083,0.669347631814,0.647916666667,9.385581185
420,0.101546132804,0.106457055594,0.695263628239,0.679166666667,9.620293288
430,0.125475731169,0.134387189209,0.598748882931,0.572916666667,9.854311404
440,0.0987202462811,0.108713088068,0.697050938338,0.672916666667,10.079971853
450,0.100859586859,0.107047608213,0.687220732797,0.6875,10.305747154
460,0.10050201834,0.109003493586,0.689008042895,0.660416666667,10.519781349
470,0.101808874085,0.108679813016,0.685433422699,0.664583333333,10.747077068
480,0.103157692892,0.112202891306,0.679177837355,0.6375,10.976193283
490,0.104488420861,0.11579250807,0.689901697945,0.6375,11.197478187
500,0.0988114178295,0.108729015382,0.712243074173,0.7,11.42465368
510,0.102805109791,0.109653913474,0.681858802502,0.683333333333,11.635524855
520,0.0968509494103,0.107137999638,0.711349419124,0.69375,11.856308331
530,0.111818923644,0.118014503174,0.638069705094,0.614583333333,12.075199467
540,0.0950491898278,0.104702194771,0.73726541555,0.691666666667,12.305160687
550,0.0952960084056,0.103134094125,0.71581769437,0.672916666667,12.532206181
560,0.102502787313,0.10870950917,0.672922252011,0.664583333333,12.760181716
570,0.103437600006,0.108422600064,0.703306523682,0.6875,13.002291145
580,0.0962762215069,0.103854341352,0.722966934763,0.70625,13.234615834
590,0.0979951854305,0.103465781951,0.706881143878,0.69375,13.458210936
600,0.0990968245523,0.106331670565,0.720285969616,0.691666666667,13.703988727
610,0.0968334736061,0.104433686747,0.722966934763,0.7,13.922164859
620,0.0992740199198,0.10628570696,0.708668453977,0.691666666667,14.14821629
630,0.0984761793586,0.107438771906,0.702412868633,0.679166666667,14.381737863
640,0.0955646101132,0.10315424832,0.722073279714,0.69375,14.611096977
650,0.106519148052,0.113302634068,0.656836461126,0.64375,14.8326238
660,0.0968261484919,0.102204524282,0.713136729223,0.68125,15.066415151
670,0.0997427002223,0.103996820981,0.713136729223,0.7125,15.280673182
680,0.0975401797859,0.102852152418,0.709562109026,0.685416666667,15.523984874
690,0.0971811916057,0.102595892838,0.712243074173,0.708333333333,15.766759456
700,0.100898447665,0.106936806008,0.689008042895,0.660416666667,15.98923587
710,0.0975742948551,0.101115295085,0.70509383378,0.695833333333,16.215297562
720,0.0983771215969,0.104218557125,0.720285969616,0.68125,16.435841072
730,0.0997798983354,0.103836946556,0.69436997319,0.6875,16.677865463
740,0.102289744499,0.10235799106,0.691689008043,0.689583333333,16.898975893
750,0.0955528897719,0.0970599577938,0.718498659517,0.70625,17.130906672
760,0.0987072582568,0.102106379359,0.706881143878,0.68125,17.357374981
770,0.0957470372587,0.0979161256045,0.724754244861,0.704166666667,17.582327268
780,0.0949792656596,0.0979782729802,0.712243074173,0.725,17.810345808
790,0.0962871551237,0.098347250324,0.709562109026,0.71875,18.026702419
800,0.104779148086,0.107486615365,0.689901697945,0.689583333333,18.261257645
810,0.0956341950565,0.0974651439244,0.725647899911,0.702083333333,18.495686289
820,0.0963345614684,0.100399003269,0.730116175156,0.71875,18.719948011
830,0.101445489506,0.105424921392,0.701519213584,0.697916666667,18.944921803
840,0.100062031074,0.103460674783,0.691689008043,0.691666666667,19.174771591
850,0.0971961756978,0.104522569493,0.696157283289,0.6875,19.406621238
860,0.0990998258176,0.106980173175,0.718498659517,0.675,19.627717495
870,0.0993951746257,0.102068469678,0.689901697945,0.685416666667,19.872281784
880,0.106695791645,0.112911570097,0.671134941912,0.629166666667,20.103993612
890,0.0961202730235,0.104077986017,0.714924039321,0.66875,20.333437274
900,0.0967384137082,0.101796954826,0.72654155496,0.720833333333,20.557864183
910,0.100717724492,0.103160230569,0.680071492404,0.666666666667,20.783737229
920,0.0968849032008,0.0996495723779,0.71581769437,0.710416666667,21.013462396
930,0.0945386625301,0.100379342418,0.73726541555,0.689583333333,21.240850485
940,0.0965248844808,0.0987250386282,0.709562109026,0.70625,21.479527117
950,0.0979876673845,0.102309218291,0.720285969616,0.68125,21.702356388
