iteration,training_MSE,testing_MSE,training_scores,testing_scores,time_elapsed
0,0.129131923039,0.129722588137,0.517426273458,0.552083333333,0.019863206
10,0.123510144829,0.129609049083,0.532618409294,0.458333333333,0.216469997
20,0.123671053739,0.128020591877,0.565683646113,0.5375,0.434456015
30,0.125848982189,0.12844420406,0.552278820375,0.529166666667,0.625310525
40,0.130831688728,0.127008656176,0.508489722967,0.508333333333,0.835823956
50,0.125356718082,0.126903643023,0.523681858803,0.516666666667,1.014317172
60,0.116456331889,0.117464906639,0.635388739946,0.627083333333,1.195755438
70,0.13483914073,0.136695343271,0.478999106345,0.460416666667,1.371760073
80,0.125926166167,0.124948245839,0.552278820375,0.541666666667,1.546406054
90,0.117890011931,0.116449312863,0.622877569258,0.635416666667,1.736357888
100,0.121652714598,0.117706935553,0.564789991063,0.6,1.915217158
110,0.134605731404,0.13305830797,0.54691689008,0.554166666667,2.095455119
120,0.11881159744,0.11492483177,0.609472743521,0.64375,2.26748789
130,0.121402404932,0.117316965002,0.573726541555,0.61875,2.448494124
140,0.132542354209,0.128412387198,0.474530831099,0.483333333333,2.624947896
150,0.123690567934,0.119187585877,0.55764075067,0.602083333333,2.810488999
160,0.122675786095,0.120020295012,0.563002680965,0.6,3.021110437
170,0.114964904648,0.110166142074,0.639857015192,0.654166666667,3.225193727
180,0.111348483847,0.106451606044,0.658623771224,0.6875,3.41209837
190,0.114740905483,0.112273202202,0.616621983914,0.64375,3.645011483
200,0.114109652577,0.110634846369,0.632707774799,0.654166666667,3.865340445
210,0.115808172433,0.113248385435,0.596961572833,0.639583333333,4.044477798
220,0.10567277073,0.101466568678,0.666666666667,0.672916666667,4.226719036
230,0.1043857333,0.102554243646,0.693476318141,0.70625,4.402699232
240,0.106578672947,0.104997238259,0.658623771224,0.677083333333,4.578530858
250,0.11165258185,0.108475405176,0.619302949062,0.670833333333,4.773303956
260,0.1089568483,0.104644345831,0.645218945487,0.6875,4.979212628
270,0.110906570396,0.106975989124,0.618409294013,0.639583333333,5.165855804
280,0.103720201716,0.101800686387,0.67381590706,0.689583333333,5.34361398
290,0.112302721303,0.109170482609,0.620196604111,0.65625,5.551862174
300,0.111725775068,0.110040925977,0.649687220733,0.654166666667,5.72552973
310,0.109331734177,0.107086730347,0.649687220733,0.658333333333,5.902200006
320,0.104247925293,0.103366547398,0.692582663092,0.6875,6.073294918
330,0.104741513072,0.10388889391,0.658623771224,0.660416666667,6.240120829
340,0.106146539317,0.104646218974,0.667560321716,0.710416666667,6.431630719
350,0.104614747804,0.102255942805,0.669347631814,0.691666666667,6.606598278
360,0.101567841957,0.0974855482648,0.670241286863,0.697916666667,6.779556695
370,0.110122693855,0.110528876035,0.635388739946,0.66875,6.960264317
380,0.111217611674,0.106947224113,0.628239499553,0.645833333333,7.133899129
390,0.101634929419,0.101507426825,0.698838248436,0.710416666667,7.317509283
400,0.116166992949,0.114999130768,0.605898123324,0.6125,7.497528782
410,0.105336408392,0.103992874272,0.649687220733,0.675,7.674722969
420,0.105351098164,0.102710399563,0.660411081323,0.6625,7.86254397
430,0.111276900263,0.109832154112,0.636282394996,0.66875,8.041594819
440,0.105480864606,0.104415630189,0.655049151028,0.677083333333,8.219502054
450,0.113082585192,0.110282369469,0.62109025916,0.64375,8.400262946
460,0.113697259906,0.112138518967,0.616621983914,0.61875,8.579178419
470,0.114458929684,0.109664569084,0.64253798034,0.65625,8.754349777
480,0.110676804813,0.110791168455,0.644325290438,0.64375,8.928259739
490,0.109425849822,0.109205414076,0.648793565684,0.645833333333,9.105248664
500,0.112247989251,0.113298569811,0.625558534406,0.641666666667,9.280079383
510,0.101355627253,0.0979091860697,0.671134941912,0.702083333333,9.456672929
520,0.103339745603,0.0997743720757,0.669347631814,0.683333333333,9.6320388
530,0.105692210235,0.102894988628,0.656836461126,0.66875,9.810144459
540,0.106801367615,0.104995548641,0.655049151028,0.685416666667,10.005141881
550,0.105113426173,0.102392461412,0.663985701519,0.677083333333,10.201347917
560,0.109036051099,0.108885737461,0.645218945487,0.647916666667,10.400603103
570,0.0975275928027,0.0934583125435,0.688114387846,0.720833333333,10.580808317
580,0.101373564315,0.0965691069426,0.672028596962,0.71875,10.762928841
590,0.103849788111,0.098384618375,0.656836461126,0.7125,10.944326054
600,0.103742751055,0.0983622960759,0.657730116175,0.714583333333,11.119859557
610,0.10490355149,0.0997387049899,0.658623771224,0.691666666667,11.292344891
620,0.105484441843,0.105215957966,0.674709562109,0.689583333333,11.467396513
630,0.103847705865,0.103132272591,0.666666666667,0.683333333333,11.665842859
640,0.104448265033,0.101067856395,0.661304736372,0.658333333333,11.839824175
650,0.0998368070886,0.0983828768111,0.687220732797,0.7125,12.020109052
660,0.107877306164,0.105236535083,0.65236818588,0.641666666667,12.207451593
670,0.104970884422,0.102869061319,0.668453976765,0.691666666667,12.435193517
680,0.105509707675,0.103874338913,0.650580875782,0.654166666667,12.61533911
690,0.0979825787355,0.0924279828682,0.697050938338,0.70625,12.793020556
700,0.101412025021,0.0953160608165,0.683646112601,0.691666666667,12.98222171
710,0.0959272838343,0.0935602064835,0.700625558534,0.704166666667,13.160629887
720,0.104363424064,0.100750877077,0.671134941912,0.7,13.34217274
730,0.0990621094593,0.0969388555166,0.689901697945,0.6875,13.520313585
740,0.100486690166,0.0974534308765,0.669347631814,0.677083333333,13.699776428
750,0.0973208897883,0.0960825044791,0.669347631814,0.691666666667,13.882627103
760,0.0967295885262,0.0938919176651,0.701519213584,0.68125,14.075826998
770,0.0973822071708,0.0947971479539,0.683646112601,0.7,14.245468444
780,0.0986818533709,0.0963891156875,0.672922252011,0.685416666667,14.422798009
790,0.0965754444792,0.0949644318336,0.696157283289,0.685416666667,14.607735051
800,0.0968123892056,0.0938430875399,0.699731903485,0.714583333333,14.83229636
810,0.101693053713,0.1003347328,0.675603217158,0.65625,15.055135409
820,0.103139416135,0.10162679041,0.668453976765,0.689583333333,15.272915186
830,0.0922218444948,0.0902958702364,0.719392314567,0.729166666667,15.466214294
840,0.0950292331399,0.0938929636265,0.712243074173,0.710416666667,15.644445062
850,0.0997358909789,0.0972535809163,0.690795352994,0.7125,15.827830891
860,0.0952390605048,0.0931929381962,0.711349419124,0.716666666667,16.005668241
870,0.0968075402422,0.0961533918695,0.700625558534,0.70625,16.184508451
880,0.0944455105871,0.0902244145685,0.707774798928,0.716666666667,16.362660046
890,0.094017803349,0.0893745235028,0.71581769437,0.729166666667,16.545018579
900,0.0941325091485,0.0904344741406,0.713136729223,0.729166666667,16.737314823
910,0.0965386989792,0.0914679256735,0.701519213584,0.720833333333,16.911932458
920,0.0997006523472,0.0944433272968,0.699731903485,0.704166666667,17.087381411
930,0.0929986110357,0.0909752732108,0.716711349419,0.720833333333,17.262795178
940,0.100681645421,0.0975875617815,0.699731903485,0.70625,17.509656471
950,0.0936649863256,0.0915015485117,0.707774798928,0.716666666667,17.70918974
960,0.102648273578,0.0952084221378,0.709562109026,0.720833333333,17.929958063
970,0.103425752692,0.0957775128344,0.693476318141,0.71875,18.128682495
980,0.0992518775024,0.0947757295093,0.692582663092,0.710416666667,18.311469639
990,0.10137451649,0.0928064538927,0.706881143878,0.716666666667,18.486845283
1000,0.0978319463953,0.0985521506302,0.698838248436,0.702083333333,18.658631251
