iteration,training_MSE,testing_MSE,training_scores,testing_scores,time_elapsed
0,0.146001887637,0.149039208313,0.523681858803,0.529166666667,0.045216248
10,0.0831686629971,0.0842490383854,0.73726541555,0.7625,0.129699996
20,0.0786641204088,0.0811282344103,0.769436997319,0.766666666667,0.177219602
30,0.0768716038584,0.0799560094605,0.771224307417,0.7625,0.212922838
40,0.0758996383379,0.0796527390571,0.771224307417,0.766666666667,0.257036035
50,0.0753017689112,0.0797709558279,0.770330652368,0.772916666667,0.301517243
60,0.0747750994892,0.0797914610077,0.771224307417,0.772916666667,0.342213283
70,0.0740745605463,0.0792553651093,0.777479892761,0.775,0.366355267
80,0.0736309769706,0.0792213121478,0.776586237712,0.775,0.396772955
90,0.0734191885543,0.0787827162148,0.781054512958,0.775,0.422573178
100,0.0731474653915,0.0788638880657,0.780160857909,0.775,0.451570636
110,0.0728561845229,0.0789815335081,0.77926720286,0.783333333333,0.474184869
120,0.0725298005176,0.0789278900714,0.780160857909,0.785416666667,0.501075437
130,0.0721573723411,0.078788585169,0.78999106345,0.78125,0.52881443
140,0.0717676600924,0.0787759545492,0.788203753351,0.789583333333,0.557641811
150,0.0714226532704,0.0787326554708,0.790884718499,0.789583333333,0.590549548
160,0.0711286808939,0.0788207408378,0.792672028597,0.789583333333,0.621350397
170,0.0708657773727,0.0788613080035,0.794459338695,0.7875,0.65197726
180,0.0705782055145,0.0789990477783,0.795352993744,0.785416666667,0.683128035
190,0.0703436680107,0.0788045783511,0.797140303843,0.785416666667,0.71303305
200,0.070140633421,0.0785966417931,0.795352993744,0.789583333333,0.74046952
210,0.0699123262336,0.0786919406808,0.790884718499,0.785416666667,0.776101892
220,0.0697945351446,0.0785757502137,0.795352993744,0.789583333333,0.802334638
230,0.0696139629114,0.0790104704807,0.793565683646,0.783333333333,0.822437319
240,0.0694850426185,0.0790105931646,0.793565683646,0.779166666667,0.84425933
250,0.0693698192187,0.0791420415668,0.792672028597,0.78125,0.863070312
260,0.0692267693664,0.0790659834925,0.795352993744,0.785416666667,0.884535555
270,0.0691071240277,0.0790908091622,0.795352993744,0.785416666667,0.90524572
280,0.0689636201073,0.0789319067903,0.796246648794,0.785416666667,0.927846269
290,0.06882187008,0.078941642636,0.798033958892,0.783333333333,0.960246222
300,0.0686974311111,0.0787719957617,0.79982126899,0.78125,0.986440357
310,0.0685804907432,0.0789290746485,0.797140303843,0.779166666667,1.014592809
320,0.0684629631459,0.0788774774102,0.79982126899,0.777083333333,1.044390308
330,0.0683529326506,0.0787870491794,0.793565683646,0.777083333333,1.061844595
340,0.0682507566079,0.0787001104058,0.801608579088,0.779166666667,1.083616757
350,0.0681491561385,0.0788216693062,0.79982126899,0.775,1.108137502
360,0.06805188586,0.0787762825686,0.803395889187,0.779166666667,1.12698905
370,0.0679754153245,0.0787690018312,0.800714924039,0.775,1.146109883
380,0.0678946837794,0.0786905812989,0.801608579088,0.779166666667,1.169249494
390,0.0678439617403,0.0788176770631,0.79982126899,0.777083333333,1.187863521
400,0.0677923416743,0.0788782797512,0.800714924039,0.777083333333,1.211251892
410,0.0677214060487,0.078959874767,0.804289544236,0.777083333333,1.230859984
420,0.0676589161001,0.0788682330217,0.798927613941,0.779166666667,1.252207934
430,0.0675750908992,0.0787410640323,0.800714924039,0.78125,1.278053609
440,0.0675068580013,0.0788098015556,0.802502234138,0.775,1.299327761
450,0.0674461248311,0.07876474049,0.801608579088,0.783333333333,1.326709003
460,0.0673644539485,0.0788425256698,0.801608579088,0.7875,1.346213486
470,0.0672898347677,0.0788855923139,0.802502234138,0.7875,1.36996449
480,0.067228545694,0.0789110677017,0.804289544236,0.7875,1.397820774
490,0.0671875480704,0.0789930371427,0.805183199285,0.7875,1.41840338
500,0.0671165712518,0.0789571726566,0.805183199285,0.791666666667,1.438327188
510,0.0670257644551,0.0790445884303,0.806076854334,0.791666666667,1.461695034
520,0.0669922428909,0.0791896010839,0.806970509383,0.785416666667,1.481658919
530,0.0669415301775,0.0792398003509,0.804289544236,0.785416666667,1.501023628
540,0.0669146615123,0.0792594619652,0.803395889187,0.7875,1.533890799
550,0.0668930461563,0.0792788393888,0.803395889187,0.7875,1.559863055
560,0.0668411205153,0.0792511779133,0.805183199285,0.785416666667,1.579540545
570,0.066805172413,0.0792877734591,0.805183199285,0.785416666667,1.604971292
580,0.0667611998629,0.0794398215694,0.806076854334,0.7875,1.622725654
590,0.066742609064,0.0794206190933,0.806076854334,0.783333333333,1.641821075
600,0.0667426024395,0.0795017897578,0.809651474531,0.779166666667,1.661397887
610,0.0666795149617,0.0794158016589,0.806076854334,0.78125,1.679827664
620,0.0666399334375,0.079378385846,0.806076854334,0.78125,1.698481765
630,0.0666166653416,0.0793786345249,0.804289544236,0.785416666667,1.717224814
640,0.0666065427847,0.0795418787933,0.806076854334,0.779166666667,1.738758479
650,0.066571797383,0.0795371963847,0.805183199285,0.779166666667,1.757789876
660,0.0665699273805,0.0795726773047,0.805183199285,0.777083333333,1.777318793
670,0.0665427905435,0.0795014379749,0.805183199285,0.777083333333,1.795551128
680,0.0665194109385,0.0795376129984,0.805183199285,0.777083333333,1.818532881
690,0.0664899113862,0.0795505161049,0.807864164433,0.775,1.839017257
700,0.0664692042977,0.0795428524749,0.806076854334,0.779166666667,1.858309633
710,0.0664348540889,0.0795416423932,0.807864164433,0.777083333333,1.876867458
720,0.0664323269747,0.0795672376898,0.807864164433,0.777083333333,1.898942141
730,0.0664167021424,0.0795692419883,0.807864164433,0.779166666667,1.922922847
740,0.0664088988475,0.0796212668339,0.804289544236,0.76875,1.950427249
750,0.0663967054861,0.0796263445975,0.803395889187,0.770833333333,1.96863026
760,0.0663873460301,0.0796059373814,0.804289544236,0.777083333333,1.986929061
770,0.0663856804829,0.0796598740825,0.804289544236,0.775,2.004151691
780,0.0663755961841,0.0796898757319,0.804289544236,0.775,2.021909474
790,0.0663645606698,0.0796500987812,0.804289544236,0.772916666667,2.043611259
800,0.0663525374363,0.0796552802609,0.805183199285,0.772916666667,2.062483334
810,0.0663439385998,0.0796515306429,0.805183199285,0.772916666667,2.081676986
820,0.0663411530008,0.0797029621565,0.804289544236,0.772916666667,2.101203459
830,0.0663351474186,0.0797313257245,0.804289544236,0.772916666667,2.118894776
840,0.0663281001778,0.0797601519316,0.805183199285,0.772916666667,2.137259065
850,0.0663233849779,0.0797303938795,0.805183199285,0.772916666667,2.155367265
860,0.0663076440553,0.0797055644749,0.805183199285,0.772916666667,2.1728064
870,0.0663066195052,0.0797638916974,0.805183199285,0.772916666667,2.190251401
880,0.0663007287126,0.0797804345018,0.805183199285,0.772916666667,2.211149238
890,0.0662990642861,0.0797760974013,0.805183199285,0.772916666667,2.230488532
900,0.066291502346,0.079764478669,0.805183199285,0.772916666667,2.248293724
910,0.0662867649471,0.0797519080406,0.805183199285,0.772916666667,2.265782708
920,0.066283712934,0.0797410920859,0.804289544236,0.772916666667,2.283687109
930,0.0662890060975,0.079759789712,0.804289544236,0.772916666667,2.303553739
940,0.0662838530387,0.0797374972661,0.804289544236,0.772916666667,2.323654463
950,0.0662771056231,0.0797451312674,0.804289544236,0.775,2.341406382
960,0.0662760409238,0.0797678614999,0.804289544236,0.770833333333,2.361358049
970,0.066269628557,0.0797867974875,0.804289544236,0.770833333333,2.378562597
980,0.0662637906081,0.0797862899391,0.804289544236,0.770833333333,2.396143463
990,0.0662599517549,0.0798131315146,0.805183199285,0.770833333333,2.416528138
1000,0.0662578688039,0.0797825868196,0.804289544236,0.770833333333,2.437299879
