iteration,training_MSE,testing_MSE,training_scores,testing_scores,time_elapsed
0,0.126832288201,0.126166859867,0.554066130474,0.55625,0.000771694999999
10,0.127274949014,0.12581346888,0.530831099196,0.552083333333,0.008262366
20,0.125887054157,0.125245136321,0.531724754245,0.5625,0.015833678
30,0.1269848513,0.125536525106,0.527256478999,0.533333333333,0.025014845
40,0.126962205411,0.12627148278,0.535299374441,0.558333333333,0.032626721
50,0.130281500287,0.12915046346,0.521000893655,0.54375,0.040449726
60,0.129603701306,0.128442674564,0.52636282395,0.5375,0.048119758
70,0.132412500456,0.131950367821,0.512064343164,0.533333333333,0.055905133
80,0.130994172434,0.130773467185,0.512957998213,0.54375,0.063455916
90,0.131657552146,0.131302549067,0.524575513852,0.558333333333,0.071178243
100,0.131270263187,0.130337931192,0.512957998213,0.535416666667,0.082686224
110,0.130039241969,0.129131878931,0.533512064343,0.539583333333,0.09015979
120,0.129708981119,0.128762653397,0.53708668454,0.545833333333,0.09761283
130,0.127109629757,0.12632606326,0.548704200179,0.558333333333,0.10510839
140,0.127732358562,0.12685773316,0.543342269884,0.552083333333,0.11318993
150,0.126770847678,0.12593009441,0.555853440572,0.558333333333,0.12079154
160,0.125764445769,0.125109803723,0.554066130474,0.56875,0.129258197
170,0.123935220122,0.123467198869,0.570151921358,0.575,0.137396428
180,0.122795133258,0.121584686182,0.585344057194,0.579166666667,0.144925222
190,0.12236369966,0.120914396633,0.585344057194,0.58125,0.153357178
200,0.121954781937,0.120378143744,0.588025022341,0.585416666667,0.160887927
210,0.120169810314,0.118546550356,0.590705987489,0.595833333333,0.168337055
220,0.118689129548,0.116447154364,0.613047363718,0.620833333333,0.175800845
230,0.118326073429,0.115852128805,0.611260053619,0.625,0.184635994
240,0.11446700147,0.110696707099,0.638963360143,0.647916666667,0.192383735
250,0.11275822825,0.108043820097,0.661304736372,0.679166666667,0.200032265
260,0.11151853409,0.106657305334,0.661304736372,0.670833333333,0.207516581
270,0.110463989448,0.105722284045,0.662198391421,0.679166666667,0.215386016
280,0.109811209768,0.105194450172,0.655049151028,0.666666666667,0.223004244
290,0.109949559874,0.105098909598,0.658623771224,0.670833333333,0.230707022
300,0.109184885007,0.104852290444,0.663985701519,0.672916666667,0.238246564
310,0.108937467225,0.104583260353,0.666666666667,0.675,0.24593859
320,0.1088886739,0.104563576436,0.667560321716,0.666666666667,0.253623775
330,0.106520157592,0.101159790607,0.68453976765,0.69375,0.261092942
340,0.105455733398,0.0999356444714,0.697944593387,0.704166666667,0.268816245
350,0.103632812406,0.0971910645913,0.695263628239,0.7125,0.27841234
360,0.102509313562,0.0979079445014,0.697050938338,0.697916666667,0.286081397
370,0.101559878127,0.0970571174852,0.700625558534,0.702083333333,0.294070077
380,0.100758394965,0.0970692175656,0.706881143878,0.708333333333,0.30158812
390,0.109733048122,0.1106266905,0.648793565684,0.620833333333,0.30905338
400,0.0994206266676,0.0965695860508,0.70509383378,0.697916666667,0.316538183
410,0.0987439389372,0.0956107532331,0.702412868633,0.704166666667,0.324507315
420,0.0982451000209,0.0953058538399,0.710455764075,0.725,0.332078137
430,0.0970340050575,0.0956580456927,0.718498659517,0.73125,0.339568808
440,0.0955581104325,0.0940563499666,0.724754244861,0.729166666667,0.347247147
450,0.0952333538658,0.0936615155032,0.727435210009,0.73125,0.354760789
460,0.0951409032974,0.0942054357329,0.722073279714,0.714583333333,0.362462102
470,0.094347689889,0.0928967239318,0.721179624665,0.7125,0.369986985
480,0.0938709118487,0.091678821785,0.731009830206,0.714583333333,0.377505026
490,0.0928959675449,0.0901220164601,0.732797140304,0.716666666667,0.384998628
500,0.0922604786703,0.0896121174915,0.739052725648,0.725,0.39253915
510,0.092262512243,0.0896220713851,0.734584450402,0.71875,0.400076251
520,0.0920595165612,0.0891889332697,0.7363717605,0.720833333333,0.410618027
530,0.0919452552615,0.0896073077611,0.734584450402,0.71875,0.418837387
540,0.092601893436,0.0896415120548,0.731903485255,0.710416666667,0.426318281
550,0.0914643087609,0.089326948961,0.73726541555,0.71875,0.433949706
560,0.091699180286,0.0901657748593,0.742627345845,0.71875,0.441663237
570,0.0912397610809,0.0897113092751,0.738159070599,0.720833333333,0.449289285
580,0.0913241337091,0.0898835615849,0.740840035746,0.716666666667,0.456955406
590,0.0904442385816,0.0892545705398,0.749776586238,0.722916666667,0.464681642
600,0.0901245656341,0.089118315089,0.747989276139,0.73125,0.472461638
610,0.0901426767727,0.0896248094216,0.742627345845,0.733333333333,0.479971858
620,0.0895799323943,0.0889342691454,0.746201966041,0.733333333333,0.48770347
630,0.0889349877445,0.086779396633,0.742627345845,0.745833333333,0.496614862
640,0.0889872453966,0.0868592527389,0.743521000894,0.741666666667,0.504498465
650,0.0883713049523,0.0861916748106,0.744414655943,0.729166666667,0.512147481
660,0.0883935666494,0.0866560960997,0.744414655943,0.7375,0.519679696
670,0.0878611231926,0.0860188980294,0.742627345845,0.7375,0.527418149
680,0.087823802659,0.0861525325059,0.746201966041,0.7375,0.535653147
690,0.0874638212053,0.085704227317,0.74709562109,0.7375,0.544126152
700,0.0871112965886,0.0861443493444,0.743521000894,0.741666666667,0.555833044
710,0.0869434407499,0.0856977635007,0.741733690795,0.745833333333,0.563768942
720,0.0869063917106,0.0853368361552,0.741733690795,0.74375,0.571519614
730,0.0870874827065,0.0858639333729,0.738159070599,0.75,0.579063556
740,0.0870227255295,0.0855338526414,0.740840035746,0.739583333333,0.587845926
750,0.0868439179825,0.0851565483504,0.740840035746,0.739583333333,0.595723178
760,0.0864024112426,0.0851743346346,0.739052725648,0.74375,0.60374558
770,0.0861922891102,0.0854890140363,0.744414655943,0.735416666667,0.611687344
780,0.0861624336862,0.0855206684252,0.745308310992,0.735416666667,0.619428732
790,0.0861361328839,0.0849707721566,0.747989276139,0.752083333333,0.62707726
800,0.0858688113786,0.0855759506667,0.749776586238,0.741666666667,0.635477936
810,0.0857571239259,0.0856224784562,0.751563896336,0.741666666667,0.643108385
820,0.0972107612304,0.0920187462831,0.697944593387,0.710416666667,0.650828756
830,0.0854157601234,0.0852983540149,0.753351206434,0.739583333333,0.658337998
840,0.085479989212,0.085315845205,0.753351206434,0.74375,0.665856527
850,0.0851640828701,0.0848143819656,0.751563896336,0.745833333333,0.673584231
860,0.0847296239204,0.0847050961165,0.750670241287,0.752083333333,0.681474191
870,0.0846877763547,0.0843681040609,0.747989276139,0.754166666667,0.689112458
880,0.0844588036587,0.0842357061414,0.753351206434,0.752083333333,0.696819146
890,0.0843049522454,0.0840266630806,0.753351206434,0.747916666667,0.704433464
900,0.0844529393412,0.0849748440894,0.749776586238,0.747916666667,0.71194124
910,0.0842951802445,0.0845448034839,0.748882931189,0.735416666667,0.719440219
920,0.0841102469204,0.0848740463887,0.754244861483,0.752083333333,0.727349728
930,0.0839340882377,0.0851867590294,0.753351206434,0.747916666667,0.735035889
940,0.108628076985,0.115212869444,0.625558534406,0.608333333333,0.742652164
950,0.0841276446662,0.0865622517318,0.751563896336,0.747916666667,0.751789836
960,0.0835796688547,0.0879915619784,0.754244861483,0.754166666667,0.759469644
970,0.083384442965,0.087547431809,0.755138516533,0.745833333333,0.767044375
980,0.0833006123314,0.08742302638,0.754244861483,0.758333333333,0.774599558
990,0.0830884715202,0.0870721598258,0.749776586238,0.75,0.782192373
1000,0.0828537712818,0.0866928824525,0.752457551385,0.75625,0.790408309
