iteration,training_MSE,testing_MSE,training_scores,testing_scores,time_elapsed
0,0.139877106782,0.13736683146,0.534405719392,0.547916666667,0.008916768
10,0.129905909727,0.127249097483,0.539767649687,0.554166666667,0.042591799
20,0.126687374852,0.125331901933,0.535299374441,0.554166666667,0.073980583
30,0.12313517881,0.123944229457,0.550491510277,0.55,0.094215708
40,0.130962287391,0.127551176572,0.529937444147,0.547916666667,0.111758451
50,0.119355884073,0.120332381804,0.566577301162,0.575,0.135122876
60,0.118298570351,0.120093400617,0.574620196604,0.572916666667,0.147608306
70,0.116404744448,0.117271547183,0.580875781948,0.59375,0.158526397
80,0.116255655678,0.116956287512,0.582663092046,0.591666666667,0.172087508
90,0.116234464193,0.116949887175,0.582663092046,0.591666666667,0.190184957
100,0.115616673355,0.116244121113,0.584450402145,0.591666666667,0.202645949
110,0.110419303871,0.11049196378,0.608579088472,0.616666666667,0.21190287
120,0.10415970059,0.102323542904,0.628239499553,0.629166666667,0.220510761
130,0.102705627311,0.100581492376,0.633601429848,0.645833333333,0.230947459
140,0.102015385853,0.100993751313,0.64164432529,0.654166666667,0.241367054
150,0.101812176956,0.101095564743,0.645218945487,0.658333333333,0.250363971
160,0.0993985505777,0.0987825528576,0.67381590706,0.68125,0.258978708
170,0.099468330886,0.0990298847563,0.695263628239,0.695833333333,0.27389505
180,0.0975723438176,0.0977718128524,0.707774798928,0.708333333333,0.282623658
190,0.0964820023685,0.0985391743814,0.70509383378,0.720833333333,0.290578127
200,0.0955503830427,0.0974922056738,0.706881143878,0.704166666667,0.298753989
210,0.0955503830427,0.0974922056738,0.706881143878,0.704166666667,0.308593469
220,0.0965679344799,0.0980873542556,0.699731903485,0.697916666667,0.31998269
230,0.0951722146558,0.0968661217745,0.709562109026,0.708333333333,0.333195829
240,0.0952414833588,0.0959419629498,0.698838248436,0.70625,0.346342016
250,0.0947132069556,0.0968945442156,0.703306523682,0.7125,0.358274214
260,0.094718326707,0.0970287083975,0.705987488829,0.708333333333,0.375495379
270,0.0947061381149,0.0967349942552,0.697050938338,0.70625,0.385773732
280,0.0946949193854,0.0967280965434,0.696157283289,0.70625,0.394435387
290,0.0942276257687,0.0962057703518,0.700625558534,0.714583333333,0.403152754
300,0.0940506049259,0.0961188899678,0.702412868633,0.7125,0.413923252
310,0.0936841702518,0.0959254834001,0.709562109026,0.71875,0.423526679
320,0.0944906052747,0.0989546088062,0.693476318141,0.714583333333,0.433654503
330,0.0923430895848,0.0950212565637,0.712243074173,0.739583333333,0.44677381
340,0.0921970314375,0.0952783625103,0.709562109026,0.729166666667,0.461473159
350,0.0917991487407,0.0940692949018,0.70509383378,0.722916666667,0.472969412
360,0.0894470490637,0.0904120551249,0.727435210009,0.75,0.489163279
370,0.0901381000398,0.0895659287932,0.724754244861,0.735416666667,0.502539651
