iterations,fitness,time,fevals
0,20.0,0.00139237400001,686
10,21.0,0.00285952300001,1254
20,25.0,0.004520695,1820
30,25.0,0.005851002,2389
40,26.0,0.006949164,2967
50,26.0,0.00818074799999,3537
60,27.0,0.009464626,4103
70,27.0,0.01045478,4673
80,29.0,0.011566138,5250
90,29.0,0.013061633,5828
100,29.0,0.014346488,6394
110,30.0,0.016169917,6969
120,32.0,0.017621427,7551
130,32.0,0.0187538,8126
140,35.0,0.0197767,8700
150,36.0,0.020993134,9290
160,36.0,0.022125508,9878
170,36.0,0.023829199,10468
180,36.0,0.025056874,11041
190,37.0,0.026461956,11612
200,37.0,0.027662262,12196
210,38.0,0.028721815,12778
220,36.0,0.029921143,13357
230,38.0,0.031304721,13933
240,37.0,0.033757138,14504
250,37.0,0.034781014,15067
260,38.0,0.036282863,15634
270,39.0,0.037750013,16216
280,54.0,0.038849153,16802
290,42.0,0.042885035,17372
300,39.0,0.044358049,17967
310,41.0,0.045822755,18536
320,41.0,0.047101257,19112
330,42.0,0.048265397,19691
340,42.0,0.049442244,20265
350,41.0,0.052242632,20855
360,43.0,0.05339211,21427
370,41.0,0.054530348,21994
380,41.0,0.055585503,22579
390,44.0,0.05722566,23138
400,46.0,0.058674238,23724
410,46.0,0.059964469,24311
420,45.0,0.061412558,24877
430,44.0,0.062771699,25470
440,45.0,0.063777004,26058
450,45.0,0.065130769,26626
460,44.0,0.066691753,27207
470,46.0,0.068129579,27782
480,46.0,0.069185223,28373
490,46.0,0.070303423,28941
500,45.0,0.072214823,29510
510,47.0,0.073853514,30101
520,46.0,0.074897917,30680
530,44.0,0.076527811,31241
540,44.0,0.078323383,31818
550,44.0,0.079585757,32412
560,48.0,0.080999146,33007
570,49.0,0.082087534,33585
580,49.0,0.083081598,34174
590,50.0,0.084290212,34753
600,51.0,0.085713376,35343
610,50.0,0.08714045,35926
620,50.0,0.088548464,36504
630,51.0,0.089985312,37078
640,51.0,0.09121543,37651
650,52.0,0.092624421,38232
660,52.0,0.094139954,38812
670,52.0,0.095862706,39397
680,52.0,0.09727414,39966
690,53.0,0.098628883,40545
700,53.0,0.099774452,41117
710,53.0,0.101519196,41688
720,54.0,0.102642773,42270
730,55.0,0.104471578,42858
740,54.0,0.106512977,43440
750,55.0,0.107616027,44000
760,57.0,0.108562686,44592
770,57.0,0.109918895,45153
780,58.0,0.11086702,45739
790,58.0,0.111865971,46321
800,59.0,0.112830712,46895
810,57.0,0.114061807,47482
820,57.0,0.115159481,48059
830,56.0,0.116283057,48625
840,56.0,0.117223362,49194
850,55.0,0.118235998,49777
860,55.0,0.119300927,50354
870,58.0,0.120698677,50940
880,56.0,0.121799283,51505
890,59.0,0.122864212,52094
900,57.0,0.124270759,52661
910,58.0,0.125383584,53251
920,58.0,0.126325355,53829
930,59.0,0.127221675,54403
940,62.0,0.128226003,54976
950,61.0,0.129606649,55562
960,64.0,0.130696992,56133
970,65.0,0.133296514,56710
980,64.0,0.13429742,57270
990,65.0,0.135388741,57855
1000,65.0,0.136280174,58430
