iterations,fitness,time,fevals
0,0.0205829202376,4.69169999633e-05,11
10,0.0206004624624,8.84579999934e-05,21
20,0.0207879999045,0.000138306999986,31
30,0.021665494238,0.000206240000011,41
40,0.0236311871145,0.000254135000034,51
50,0.0239528762097,0.000313271000039,61
60,0.0244360498184,0.000385601999994,71
70,0.0245006304206,0.000437895000005,81
80,0.0253676814864,0.000506805000043,91
90,0.0254359755728,0.000559587000055,101
100,0.0257159107233,0.000614324000082,111
110,0.0260257667125,0.000688610000054,121
120,0.0264173185671,0.00075898700004,131
130,0.0264344321702,0.000811769000052,141
140,0.0265677038875,0.000863573000061,151
150,0.027116350306,0.000916355000072,161
160,0.0275115408417,0.00103560300005,171
170,0.0276800030883,0.00110011500004,181
180,0.0278320771161,0.00118759700001,191
190,0.0278845808432,0.00131857499997,201
200,0.0279655154961,0.00138259799996,211
210,0.0279655154961,0.00143440299996,221
220,0.0284773812928,0.00149744799995,231
230,0.0286631831998,0.00156147099995,241
240,0.0287632446576,0.00165628299993,251
250,0.0294009800423,0.00171639599995,261
260,0.0294973176751,0.001799968,271
270,0.0295248040862,0.00185275000001,281
280,0.0296894341571,0.00192557000003,291
290,0.0297855345859,0.00204775100002,301
300,0.0301706307621,0.00222369200003,311
310,0.0310121740452,0.00229260200001,321
320,0.031101626598,0.00237861699998,331
330,0.031101626598,0.00244703899995,341
340,0.0313023648526,0.00262346799997,351
350,0.0313393058486,0.00268064899996,361
360,0.0313407661095,0.00273147599995,371
370,0.0318953723525,0.00279452199993,381
380,0.0323460528221,0.00286147699995,391
390,0.0323460528221,0.00294944699993,401
400,0.0323460528221,0.0030159129999,411
410,0.0323460528221,0.00308433399988,421
420,0.0323460528221,0.00316790599987,431
430,0.0323460528221,0.00322801899989,441
440,0.0323460528221,0.0033330949999,451
450,0.032526434005,0.00341080199991,461
460,0.0325964456717,0.00349095299987,471
470,0.0325964456717,0.00357599099988,481
480,0.0325964456717,0.00369426299989,491
490,0.0326997873172,0.00375535299992,501
500,0.0330785994727,0.00382866099989,511
510,0.0330785994727,0.00395426299986,521
520,0.0331641578233,0.00402463899991,531
530,0.0331641578233,0.00410283499991,541
540,0.0331641578233,0.00417321099991,551
550,0.0331641578233,0.0044371219999,561
560,0.0331641578233,0.0045290029999,571
570,0.0331641578233,0.00459400299991,581
580,0.0332691414333,0.00468881499995,591
590,0.0332985323068,0.00476945399993,601
600,0.0336468158148,0.00488137199994,611
610,0.0336468158148,0.00495907899995,621
620,0.0342592089783,0.00503483199992,631
630,0.0342592089783,0.00510716399992,641
640,0.0347850294492,0.00518047299988,651
650,0.0351203998926,0.00525426999985,661
660,0.0351231785666,0.00533979699986,671
670,0.0352357293059,0.00546686499985,681
680,0.0352357293059,0.00555532399983,691
690,0.0352357293059,0.00565942199984,701
700,0.0352357293059,0.00575130199985,711
710,0.0352357293059,0.00587055099982,721
720,0.0352357293059,0.00596389699979,731
730,0.0352357293059,0.00604844599974,741
740,0.0352357293059,0.00613397299969,751
750,0.0353189451127,0.00623318299967,761
760,0.0356847518664,0.00632017599963,771
770,0.0356847518664,0.00643795799959,781
780,0.0358482217961,0.00660314699957,791
790,0.0358482217961,0.00670724499957,801
800,0.0359618839928,0.00678006499959,811
810,0.0363885215333,0.00685337299961,821
820,0.0364674729039,0.00693352399958,831
830,0.0366146872678,0.00700976499957,841
840,0.0366146872678,0.00709235899956,851
850,0.0371625941145,0.00715149499956,861
860,0.0371625941145,0.00722920299955,871
870,0.0371625941145,0.00730935399957,881
880,0.0371625941145,0.00738999299961,891
890,0.0371625941145,0.00746965499962,901
900,0.0371625941145,0.00753025699959,911
910,0.0371625941145,0.00762555799957,921
920,0.0372023827993,0.00771743799953,931
930,0.0373215108791,0.00778292699954,941
940,0.0375029568299,0.00786845399955,951
950,0.0375029568299,0.00794811599957,961
960,0.0377378923867,0.00802631199957,971
970,0.0377378923867,0.00810597399953,981
980,0.0377378923867,0.00821789199949,991
990,0.0377378923867,0.00830537399952,1001
1000,0.0377450304309,0.00845883299951,1011
