iterations,fitness,time,fevals
0,16.0,4.93609999994e-05,11
10,18.0,0.000123158999999,21
20,13.0,0.000204287999999,31
30,12.0,0.000270265999999,41
40,14.0,0.000330378999999,51
50,15.0,0.000386094,61
60,15.0,0.000438876,71
70,15.0,0.000520980999999,81
80,15.0,0.000585492999999,91
90,16.0,0.000684703999999,101
100,16.0,0.000752146999999,111
110,16.0,0.000812260999999,121
120,17.0,0.000881659999999,131
130,17.0,0.00095057,141
140,17.0,0.001015081,151
150,18.0,0.001071284,161
160,18.0,0.001140683,171
170,18.0,0.00124527,181
180,18.0,0.001313691,191
190,18.0,0.001386511,201
200,18.0,0.001450534,211
210,18.0,0.001506248,221
220,18.0,0.001586399,231
230,18.0,0.001658242,241
240,18.0,0.001755498,251
250,19.0,0.001827829,261
260,20.0,0.001906025,271
270,20.0,0.001974447,281
280,25.0,0.002054597,291
290,25.0,0.002146966,301
300,25.0,0.002215388,311
310,25.0,0.002284787,321
320,25.0,0.002455351,331
330,25.0,0.002540389,341
340,25.0,0.00261663,351
350,25.0,0.002684074,361
360,25.0,0.002753961,371
370,25.0,0.002817984,381
380,25.0,0.002872721,391
390,25.0,0.002944075,401
400,25.0,0.003012007,411
410,25.0,0.003148361,421
420,25.0,0.003298888,431
430,25.0,0.003380505,441
440,26.0,0.003453814,451
450,26.0,0.003542273,461
460,26.0,0.003651748,471
470,26.0,0.003717237,481
480,26.0,0.003772951,491
490,26.0,0.003829643,501
500,26.0,0.003883403,511
510,26.0,0.003974306,521
520,26.0,0.004034908,531
530,26.0,0.004100886,541
540,26.0,0.004165886,551
550,26.0,0.004227465,561
560,26.0,0.004282691,571
570,26.0,0.00434036,581
580,26.0,0.004426864,591
590,26.0,0.004496751,601
600,26.0,0.004564195,611
610,27.0,0.00463115,621
620,27.0,0.00474551099999,631
630,27.0,0.004804158,641
640,27.0,0.00487306799999,651
650,27.0,0.00493366999999,661
660,27.0,0.00499573699999,671
670,27.0,0.00506709099999,681
680,27.0,0.00516874599999,691
690,27.0,0.00522641499999,701
700,27.0,0.00532171599999,711
710,27.0,0.00540235599999,721
720,27.0,0.005469312,731
730,27.0,0.005574388,741
740,27.0,0.005629614,751
750,27.0,0.00568874999999,761
760,27.0,0.00576010399999,771
770,27.0,0.00581875099999,781
780,27.0,0.00587348899999,791
790,27.0,0.005948264,801
800,27.0,0.006019129,811
810,27.0,0.006094393,821
820,27.0,0.006162326,831
830,27.0,0.006216575,841
840,27.0,0.006284019,851
850,27.0,0.006347065,861
860,27.0,0.006406689,871
870,27.0,0.006478043,881
880,28.0,0.006545487,891
890,28.0,0.006614397,901
900,29.0,0.006678909,911
910,29.0,0.00678594,921
920,29.0,0.006845564,931
930,29.0,0.006918872,941
940,29.0,0.006990225,951
950,29.0,0.007049849,961
960,29.0,0.007114361,971
970,29.0,0.007189135,981
980,30.0,0.007256579,991
990,30.0,0.007315226,1001
1000,30.0,0.007368008,1011
