iterations,fitness,time,fevals
0,23.0,0.179062579,1000
10,32.0,0.318277053,2100
20,34.0,0.42889678,3200
30,35.0,0.544826003,4300
40,36.0,0.665487051,5400
50,34.0,0.770141413,6500
60,39.0,0.882711636,7600
70,42.0,1.016711426,8700
80,42.0,1.129816313,9800
90,41.0,1.236699257,10900
100,42.0,1.340677714,12000
110,44.0,1.445557378,13100
120,44.0,1.560245243,14200
130,43.0,1.660273833,15300
140,43.0,1.767000873,16400
150,45.0,1.890245316,17500
160,45.0,2.010900988,18600
170,46.0,2.132777492,19700
180,46.0,2.256510659,20800
190,44.0,2.378757127,21900
200,41.0,2.494757215,23000
210,44.0,2.633373491,24100
220,42.0,2.75744632,25200
230,45.0,2.874383781,26300
240,45.0,2.990341838,27400
250,43.0,3.093764127,28500
260,45.0,3.191899401,29600
270,45.0,3.295611992,30700
280,45.0,3.39806954,31800
290,42.0,3.495834361,32900
300,45.0,3.595782312,34000
310,42.0,3.711652888,35100
320,43.0,3.844697712,36200
330,48.0,3.950547493,37300
340,42.0,4.057913784,38400
350,44.0,4.162727959,39500
360,44.0,4.287154625,40600
370,43.0,4.381663567,41700
380,43.0,4.486956203,42800
390,44.0,4.585540614,43900
400,45.0,4.687966396,45000
410,44.0,4.79203429,46100
420,44.0,4.88990272,47200
430,46.0,4.987620624,48300
440,44.0,5.112687029,49400
450,44.0,5.236869333,50500
460,44.0,5.357793315,51600
470,44.0,5.46282546,52700
480,44.0,5.585003507,53800
490,45.0,5.709104194,54900
500,44.0,5.844285229,56000
510,46.0,5.97976292,57100
520,44.0,6.099388362,58200
530,45.0,6.203204074,59300
540,43.0,6.306079481,60400
550,44.0,6.415427059,61500
560,45.0,6.517136371,62600
570,45.0,6.63975427,63700
580,45.0,6.750559222,64800
590,45.0,6.846477156,65900
600,45.0,6.958562565,67000
610,45.0,7.05660156,68100
620,45.0,7.156879889,69200
630,46.0,7.263196401,70300
640,45.0,7.365288383,71400
650,45.0,7.46438742,72500
660,47.0,7.570618894,73600
670,44.0,7.676517058,74700
680,45.0,7.779287878,75800
690,45.0,7.88946091,76900
700,45.0,8.024866269,78000
710,45.0,8.162307164,79100
720,46.0,8.266296373,80200
730,46.0,8.365906615,81300
740,44.0,8.476582056,82400
750,45.0,8.584720042,83500
760,45.0,8.692753931,84600
770,48.0,8.80962688,85700
780,46.0,8.92377275,86800
790,45.0,9.048032272,87900
800,45.0,9.158848466,89000
810,45.0,9.255814712,90100
820,45.0,9.350647678,91200
830,46.0,9.450471004,92300
840,46.0,9.549608162,93400
850,46.0,9.644124924,94500
860,44.0,9.7473571,95600
870,45.0,9.854147186,96700
880,45.0,9.958993128,97800
890,46.0,10.058692319,98900
900,47.0,10.169890206,100000
910,46.0,10.269495073,101100
920,45.0,10.366692485,102200
930,45.0,10.469103116,103300
940,46.0,10.588809686,104400
950,47.0,10.690674412,105500
960,46.0,10.794181739,106600
970,46.0,10.901741565,107700
980,47.0,11.00773943,108800
990,46.0,11.120924468,109900
1000,46.0,11.249005811,111000
