iterations,fitness,time,fevals
0,24.0,0.163902363,1000
10,32.0,0.315392604,2100
20,44.0,0.451403004,3200
30,42.0,0.571146717,4300
40,54.0,0.689226325,5400
50,55.0,0.803300841,6500
60,53.0,0.907899,7600
70,54.0,1.015105479,8700
80,54.0,1.123016698,9800
90,59.0,1.221009264,10900
100,57.0,1.322105716,12000
110,56.0,1.42361514,13100
120,64.0,1.522798238,14200
130,58.0,1.621108964,15300
140,65.0,1.722463951,16400
150,60.0,1.819930651,17500
160,65.0,1.925818063,18600
170,60.0,2.025595938,19700
180,63.0,2.133081967,20800
190,61.0,2.239009944,21900
200,62.0,2.349451286,23000
210,62.0,2.44791596,24100
220,62.0,2.544410099,25200
230,61.0,2.653871061,26300
240,62.0,2.762340891,27400
250,63.0,2.857891304,28500
260,62.0,2.951080203,29600
270,61.0,3.046959527,30700
280,62.0,3.143509381,31800
290,62.0,3.239488894,32900
300,63.0,3.333795993,34000
310,62.0,3.429257458,35100
320,62.0,3.529123792,36200
330,61.0,3.623600478,37300
340,61.0,3.720163527,38400
350,61.0,3.81947076,39500
360,63.0,3.921670751,40600
370,63.0,4.015304389,41700
380,62.0,4.111279503,42800
390,62.0,4.20850575,43900
400,61.0,4.305116205,45000
410,62.0,4.40357257,46100
420,62.0,4.522349587,47200
430,64.0,4.64128544,48300
440,62.0,4.748593573,49400
450,62.0,4.850730518,50500
460,63.0,4.953060509,51600
470,62.0,5.065240242,52700
480,63.0,5.176607716,53800
490,63.0,5.287411691,54900
500,63.0,5.410943504,56000
510,63.0,5.52569588,57100
520,65.0,5.623421603,58200
530,67.0,5.718130923,59300
540,62.0,5.812531369,60400
550,62.0,5.907773886,61500
560,63.0,6.002251061,62600
570,64.0,6.10375853,63700
580,64.0,6.201667036,64800
590,66.0,6.298985163,65900
600,64.0,6.398083712,67000
610,65.0,6.504435901,68100
620,64.0,6.6094397,69200
630,66.0,6.707776328,70300
640,65.0,6.803975277,71400
650,65.0,6.900197685,72500
660,64.0,6.996928855,73600
670,65.0,7.093392204,74700
680,66.0,7.191966352,75800
690,65.0,7.290313243,76900
700,65.0,7.387713477,78000
710,65.0,7.486738228,79100
720,65.0,7.580116264,80200
730,66.0,7.678517404,81300
740,66.0,7.775813539,82400
750,64.0,7.884164609,83500
760,67.0,7.994781892,84600
770,66.0,8.098912342,85700
780,66.0,8.220750726,86800
790,64.0,8.330933045,87900
800,67.0,8.451498303,89000
810,66.0,8.552517537,90100
820,64.0,8.658690853,91200
830,65.0,8.758228275,92300
840,63.0,8.876510215,93400
850,66.0,8.983067668,94500
860,63.0,9.12309098,95600
870,66.0,9.220029858,96700
880,65.0,9.316943322,97800
890,65.0,9.414711075,98900
900,64.0,9.517405165,100000
910,66.0,9.615160211,101100
920,66.0,9.713227064,102200
930,66.0,9.829176325,103300
940,65.0,9.938188638,104400
950,66.0,10.032514798,105500
960,64.0,10.139787255,106600
970,63.0,10.237297939,107700
980,67.0,10.336247427,108800
990,66.0,10.440899346,109900
1000,64.0,10.584915532,111000
