iterations,fitness,time,fevals
0,29.0,0.00154143499999,726
10,33.0,0.003107306,1361
20,31.0,0.00425385299999,1994
30,33.0,0.005495211,2626
40,33.0,0.00675416399999,3258
50,34.0,0.00847691599998,3892
60,33.0,0.00968064299998,4531
70,33.0,0.01128659,5170
80,33.0,0.012979529,5806
90,34.0,0.014235061,6441
100,36.0,0.015526269,7057
110,36.0,0.016772515,7699
120,35.0,0.018266544,8340
130,36.0,0.019564106,8973
140,36.0,0.021156369,9599
150,36.0,0.022916264,10238
160,36.0,0.024061344,10855
170,38.0,0.025558305,11490
180,37.0,0.027216546,12106
190,37.0,0.028184708,12722
200,37.0,0.029708549,13351
210,37.0,0.031364834,13979
220,36.0,0.032876457,14624
230,36.0,0.034226312,15257
240,36.0,0.035301994,15891
250,37.0,0.036792602,16517
260,36.0,0.037970915,17133
270,36.0,0.039456636,17758
280,37.0,0.040945778,18401
290,36.0,0.042056648,19026
300,37.0,0.049185664,19648
310,36.0,0.050753002,20272
320,37.0,0.052895079,20908
330,38.0,0.056553177,21546
340,38.0,0.058442584,22183
350,38.0,0.060265524,22807
360,39.0,0.06362941,23431
370,39.0,0.065452839,24060
380,43.0,0.066650213,24688
390,40.0,0.06816428,25314
400,40.0,0.070232071,25952
410,40.0,0.071660611,26578
420,42.0,0.073739643,27204
430,42.0,0.075581643,27816
440,43.0,0.076860145,28446
450,43.0,0.078081955,29066
460,42.0,0.080072528,29687
470,42.0,0.08145415,30313
480,42.0,0.082956487,30949
490,42.0,0.084143598,31573
500,43.0,0.085679657,32210
510,43.0,0.087229401,32846
520,43.0,0.088412112,33482
530,42.0,0.089919825,34113
540,43.0,0.091632313,34747
550,42.0,0.093078936,35370
560,42.0,0.094196648,35999
570,42.0,0.095682369,36615
580,42.0,0.0972023,37251
590,42.0,0.098610803,37888
600,42.0,0.099682575,38509
610,42.0,0.100997731,39136
620,43.0,0.102300669,39769
630,44.0,0.103815713,40397
640,46.0,0.104979853,41035
650,45.0,0.106480236,41669
660,45.0,0.107963025,42295
670,45.0,0.109800627,42933
680,45.0,0.110889503,43572
690,46.0,0.112342479,44198
700,46.0,0.113576995,44821
710,46.0,0.114608692,45450
720,47.0,0.115927758,46085
730,46.0,0.117055733,46709
740,46.0,0.118344986,47333
750,47.0,0.119735894,47968
760,47.0,0.120701613,48604
770,47.0,0.121838385,49222
780,48.0,0.12284369,49857
790,48.0,0.123863168,50482
800,51.0,0.130179436,51116
810,50.0,0.131167147,51743
820,49.0,0.132702717,52363
830,52.0,0.133882008,52984
840,52.0,0.135460097,53616
850,52.0,0.137009352,54237
860,52.0,0.137978492,54857
870,52.0,0.139738387,55484
880,51.0,0.141190874,56108
890,54.0,0.142204976,56735
900,55.0,0.14351329,57360
910,55.0,0.144772731,57987
920,55.0,0.145766795,58599
930,56.0,0.146785295,59228
940,61.0,0.148282745,59873
950,62.0,0.149474743,60515
960,60.0,0.150865651,61156
970,60.0,0.151943776,61790
980,60.0,0.153016525,62413
990,60.0,0.154287695,63047
1000,59.0,0.155244128,63688
