iterations,fitness,time,fevals
0,19.0,0.00124526900001,595
10,26.0,0.00263177800001,1079
20,26.0,0.003766595,1559
30,31.0,0.00541115099999,2022
40,31.0,0.00686412699999,2505
50,31.0,0.00815728999999,2987
60,31.0,0.00987662099999,3469
70,32.0,0.010874106,3950
80,32.0,0.012344187,4429
90,32.0,0.013308928,4914
100,32.0,0.014367015,5390
110,32.0,0.015156304,5865
120,34.0,0.016218301,6352
130,34.0,0.017389773,6841
140,34.0,0.018544138,7325
150,34.0,0.019796248,7821
160,35.0,0.020833321,8292
170,34.0,0.02209765,8766
180,34.0,0.023434799,9239
190,34.0,0.024768527,9718
200,35.0,0.026227857,10202
210,34.0,0.027189177,10672
220,35.0,0.028400235,11149
230,36.0,0.029819,11630
240,35.0,0.03107502,12116
250,35.0,0.032264086,12618
260,34.0,0.033911086,13104
270,35.0,0.037943547,13600
280,36.0,0.039090094,14086
290,35.0,0.040764951,14571
300,36.0,0.04227071,15047
310,36.0,0.04344267,15537
320,36.0,0.04451884,16024
330,36.0,0.045738206,16510
340,35.0,0.04670197,16985
350,36.0,0.047761524,17461
360,39.0,0.048972093,17941
370,36.0,0.050191459,18419
380,36.0,0.051418644,18888
390,36.0,0.052337933,19380
400,38.0,0.053310494,19871
410,37.0,0.054536214,20372
420,37.0,0.055662234,20837
430,37.0,0.056857652,21324
440,37.0,0.058029123,21813
450,38.0,0.059089165,22305
460,38.0,0.060292892,22790
470,37.0,0.061121767,23277
480,36.0,0.062006846,23768
490,36.0,0.063570273,24250
500,37.0,0.064975354,24743
510,39.0,0.065954268,25224
520,40.0,0.066789985,25712
530,39.0,0.067558747,26194
540,39.0,0.068421345,26681
550,40.0,0.069549808,27167
560,39.0,0.070417293,27657
570,39.0,0.07167478,28148
580,39.0,0.072985049,28625
590,40.0,0.073993287,29107
600,39.0,0.074851975,29599
610,38.0,0.076066943,30080
620,38.0,0.076945668,30549
630,38.0,0.077755483,31032
640,38.0,0.078907405,31527
650,38.0,0.080078876,32005
660,39.0,0.080983992,32482
670,39.0,0.081877868,32968
680,41.0,0.083081595,33432
690,41.0,0.08427457,33914
700,41.0,0.085513485,34401
710,41.0,0.08682131,34884
720,41.0,0.088031879,35355
730,41.0,0.089141771,35827
740,41.0,0.090100648,36313
750,40.0,0.091606406,36796
760,39.0,0.092959194,37266
770,39.0,0.094657021,37747
780,41.0,0.095675522,38251
790,42.0,0.096889512,38722
800,42.0,0.098025796,39201
810,42.0,0.099533998,39692
820,42.0,0.100494341,40182
830,42.0,0.101468367,40660
840,43.0,0.102586567,41132
850,43.0,0.103606534,41604
860,43.0,0.104474996,42095
870,42.0,0.105699249,42585
880,43.0,0.10660681,43070
890,43.0,0.107628731,43548
900,43.0,0.108468358,44025
910,43.0,0.109351482,44505
920,43.0,0.110367539,44980
930,44.0,0.111470589,45460
940,44.0,0.11305992,45943
950,44.0,0.11391763,46416
960,45.0,0.114735754,46902
970,45.0,0.115921887,47391
980,44.0,0.117108509,47873
990,45.0,0.118463741,48350
1000,45.0,0.119563859,48826
