iterations,fitness,time,fevals
0,22.0,0.001023388,469
10,22.0,0.002354184,826
20,24.0,0.003333098,1199
30,24.0,0.00426656099999,1560
40,24.0,0.00517607599999,1926
50,24.0,0.00636220899999,2289
60,24.0,0.00790071199999,2660
70,25.0,0.00925252299999,3028
80,27.0,0.010390272,3392
90,28.0,0.011770917,3753
100,27.0,0.013012276,4118
110,27.0,0.014102619,4478
120,28.0,0.015297549,4850
130,29.0,0.016029169,5215
140,28.0,0.016842894,5581
150,29.0,0.017711845,5952
160,30.0,0.0185026,6325
170,28.0,0.01936422,6694
180,28.0,0.020285464,7066
190,29.0,0.021046408,7438
200,29.0,0.02190705,7804
210,29.0,0.022927506,8170
220,29.0,0.024092135,8534
230,29.0,0.025382855,8903
240,30.0,0.026334889,9267
250,29.0,0.02720775,9635
260,29.0,0.028070348,10004
270,29.0,0.029006254,10366
280,30.0,0.02999201,10733
290,29.0,0.030829683,11098
300,29.0,0.032595931,11460
310,29.0,0.033747853,11832
320,29.0,0.034715037,12198
330,30.0,0.035568349,12563
340,29.0,0.036584895,12922
350,29.0,0.037446027,13284
360,30.0,0.038153211,13653
370,29.0,0.03882374,14020
380,30.0,0.040051903,14389
390,30.0,0.041110968,14757
400,31.0,0.042137777,15129
410,31.0,0.042854246,15494
420,31.0,0.043910379,15865
430,32.0,0.044595082,16230
440,32.0,0.04585208,16598
450,32.0,0.046583211,16971
460,36.0,0.047419907,17338
470,33.0,0.048116339,17707
480,36.0,0.048946192,18084
490,33.0,0.049657774,18454
500,33.0,0.050644018,18823
510,33.0,0.051525188,19191
520,37.0,0.052447899,19554
530,37.0,0.053359857,19917
540,37.0,0.054354899,20282
550,37.0,0.055046443,20648
560,38.0,0.055701333,21014
570,37.0,0.056729608,21379
580,38.0,0.057443634,21742
590,38.0,0.058404954,22106
600,38.0,0.059441538,22474
610,38.0,0.060373046,22837
620,38.0,0.061227825,23201
630,39.0,0.062027866,23565
640,39.0,0.06278099,23931
650,40.0,0.063519452,24299
660,39.0,0.065603859,24666
670,39.0,0.07193821,25028
680,40.0,0.072861899,25400
690,39.0,0.073742091,25773
700,39.0,0.074646231,26136
710,39.0,0.075607551,26499
720,39.0,0.076509735,26859
730,39.0,0.077465679,27221
740,39.0,0.078383502,27581
750,40.0,0.079376589,27952
760,40.0,0.080560767,28325
770,39.0,0.081408703,28687
780,40.0,0.082437467,29048
790,39.0,0.083300554,29412
800,39.0,0.084337627,29782
810,41.0,0.085073645,30148
820,40.0,0.086032033,30515
830,39.0,0.086910758,30876
840,39.0,0.08776407,31239
850,41.0,0.088625202,31602
860,41.0,0.08979765,31970
870,40.0,0.090801489,32338
880,39.0,0.091986645,32696
890,40.0,0.093070146,33060
900,40.0,0.093811051,33428
910,40.0,0.094543159,33788
920,40.0,0.095498125,34151
930,39.0,0.096351437,34519
940,39.0,0.097114335,34891
950,39.0,0.098051708,35257
960,40.0,0.099293066,35625
970,40.0,0.10032916,36001
980,41.0,0.101079351,36373
990,40.0,0.102112514,36741
1000,40.0,0.103290827,37105
