iterations,fitness,time,fevals
0,29.0,0.153262355,1000
10,33.0,0.314622376,2100
20,35.0,0.450692889,3200
30,36.0,0.567746665,4300
40,42.0,0.679785646,5400
50,47.0,0.800418348,6500
60,42.0,0.901813899,7600
70,44.0,1.011051025,8700
80,44.0,1.110515628,9800
90,42.0,1.216199243,10900
100,42.0,1.322172182,12000
110,44.0,1.423086829,13100
120,43.0,1.528718639,14200
130,43.0,1.640990741,15300
140,43.0,1.741606777,16400
150,42.0,1.840524498,17500
160,43.0,1.942211818,18600
170,42.0,2.042018528,19700
180,44.0,2.145125102,20800
190,43.0,2.267784542,21900
200,45.0,2.388990517,23000
210,47.0,2.489100236,24100
220,43.0,2.588585854,25200
230,45.0,2.686546165,26300
240,44.0,2.789343865,27400
250,46.0,2.892256904,28500
260,43.0,2.994191029,29600
270,47.0,3.0997075,30700
280,44.0,3.20136794,31800
290,42.0,3.313591169,32900
300,44.0,3.426336844,34000
310,42.0,3.525739868,35100
320,46.0,3.632859353,36200
330,45.0,3.734747538,37300
340,46.0,3.841892438,38400
350,46.0,3.949021698,39500
360,48.0,4.058690856,40600
370,45.0,4.160612274,41700
380,44.0,4.263020461,42800
390,58.0,4.362385364,43900
400,47.0,4.462492639,45000
410,45.0,4.556341804,46100
420,46.0,4.662700346,47200
430,46.0,4.769642425,48300
440,47.0,4.87554059,49400
450,47.0,4.972564995,50500
460,46.0,5.064605393,51600
470,46.0,5.171319238,52700
480,46.0,5.261753689,53800
490,46.0,5.3586608,54900
500,46.0,5.463703209,56000
510,47.0,5.555061837,57100
520,46.0,5.646500616,58200
530,47.0,5.736035326,59300
540,46.0,5.826677973,60400
550,47.0,5.924714036,61500
560,46.0,6.016998307,62600
570,46.0,6.119229088,63700
580,46.0,6.221109942,64800
590,46.0,6.336934578,65900
600,46.0,6.431175212,67000
610,47.0,6.539383575,68100
620,46.0,6.639714197,69200
630,46.0,6.731881664,70300
640,46.0,6.825560264,71400
650,47.0,6.916551371,72500
660,46.0,7.010551063,73600
670,46.0,7.149109181,74700
680,46.0,7.241226309,75800
690,46.0,7.334683518,76900
700,46.0,7.425980567,78000
710,46.0,7.516845584,79100
720,46.0,7.605671645,80200
730,46.0,7.697473057,81300
740,46.0,7.795104945,82400
750,46.0,7.885724622,83500
760,46.0,7.979252695,84600
770,46.0,8.067577325,85700
780,46.0,8.158608508,86800
790,46.0,8.250151385,87900
800,46.0,8.34205885,89000
810,46.0,8.430948934,90100
820,46.0,8.521169324,91200
830,46.0,8.613356339,92300
840,46.0,8.702481499,93400
850,46.0,8.794588852,94500
860,46.0,8.884254052,95600
870,46.0,8.972502441,96700
880,46.0,9.065132729,97800
890,46.0,9.158692569,98900
900,46.0,9.255390017,100000
910,46.0,9.348660533,101100
920,47.0,9.447254719,102200
930,46.0,9.54488172,103300
940,47.0,9.655075279,104400
950,46.0,9.750663813,105500
960,46.0,9.839627206,106600
970,46.0,9.933173362,107700
980,46.0,10.027434032,108800
990,46.0,10.116991712,109900
1000,46.0,10.20910884,111000
