iterations,fitness,time,fevals
0,23.0,0.148962561,1000
10,27.0,0.291458327,2100
20,41.0,0.410858956,3200
30,43.0,0.521980113,4300
40,47.0,0.632164875,5400
50,51.0,0.746427549,6500
60,52.0,0.849650928,7600
70,59.0,0.95048689,8700
80,52.0,1.053489854,9800
90,53.0,1.151686219,10900
100,52.0,1.251546688,12000
110,53.0,1.350707794,13100
120,53.0,1.448425698,14200
130,53.0,1.547760789,15300
140,58.0,1.645488467,16400
150,53.0,1.743900358,17500
160,52.0,1.840498595,18600
170,52.0,1.94118012,19700
180,52.0,2.040259608,20800
190,55.0,2.147409394,21900
200,52.0,2.262188161,23000
210,53.0,2.371831417,24100
220,52.0,2.470072744,25200
230,54.0,2.568055536,26300
240,53.0,2.674985396,27400
250,53.0,2.778939905,28500
260,52.0,2.874677988,29600
270,53.0,2.97167649,30700
280,52.0,3.074617875,31800
290,53.0,3.17554865,32900
300,53.0,3.27630495,34000
310,53.0,3.373581048,35100
320,53.0,3.473047606,36200
330,54.0,3.573075708,37300
340,54.0,3.673265577,38400
350,54.0,3.776511437,39500
360,53.0,3.882240992,40600
370,53.0,3.980486718,41700
380,60.0,4.078459735,42800
390,53.0,4.175487072,43900
400,53.0,4.272742643,45000
410,54.0,4.372087508,46100
420,54.0,4.470060036,47200
430,54.0,4.56657128,48300
440,53.0,4.667988335,49400
450,54.0,4.766765303,50500
460,53.0,4.864945051,51600
470,55.0,4.964032848,52700
480,53.0,5.059787059,53800
490,53.0,5.155149802,54900
500,54.0,5.250639614,56000
510,56.0,5.35101862,57100
520,56.0,5.457183139,58200
530,54.0,5.56195284,59300
540,54.0,5.662917825,60400
550,53.0,5.765033755,61500
560,54.0,5.862705718,62600
570,55.0,5.965975525,63700
580,55.0,6.067712694,64800
590,56.0,6.184376469,65900
600,56.0,6.287181989,67000
610,56.0,6.382312099,68100
620,55.0,6.484888407,69200
630,54.0,6.584615943,70300
640,55.0,6.680653125,71400
650,56.0,6.777793357,72500
660,54.0,6.874553851,73600
670,56.0,6.979801035,74700
680,55.0,7.085886381,75800
690,57.0,7.187382121,76900
700,56.0,7.282798624,78000
710,54.0,7.375958689,79100
720,56.0,7.473383359,80200
730,56.0,7.572952549,81300
740,55.0,7.671290155,82400
750,56.0,7.776391211,83500
760,54.0,7.871103951,84600
770,56.0,7.968579448,85700
780,55.0,8.0649343,86800
790,56.0,8.159335723,87900
800,55.0,8.260424356,89000
810,56.0,8.355106306,90100
820,55.0,8.454905685,91200
830,55.0,8.549967374,92300
840,57.0,8.656563436,93400
850,55.0,8.755613112,94500
860,57.0,8.851303789,95600
870,56.0,8.949381882,96700
880,56.0,9.045305191,97800
890,56.0,9.141881436,98900
900,57.0,9.242275103,100000
910,56.0,9.340082931,101100
920,56.0,9.443429957,102200
930,56.0,9.56427281,103300
940,55.0,9.669198414,104400
950,55.0,9.776814443,105500
960,57.0,9.881602227,106600
970,56.0,9.984564138,107700
980,55.0,10.089221922,108800
990,55.0,10.187983251,109900
1000,57.0,10.293922957,111000
