iterations,fitness,time,fevals
0,21.0,0.001637226,804
10,21.0,0.003339941,1495
20,24.0,0.004889685,2219
30,25.0,0.006386157,2922
40,30.0,0.0078362,3627
50,31.0,0.009061431,4310
60,31.0,0.010228993,4992
70,31.0,0.011536819,5693
80,31.0,0.013399834,6397
90,32.0,0.0145542,7111
100,32.0,0.015737889,7812
110,32.0,0.017228008,8522
120,33.0,0.018564668,9220
130,33.0,0.019803583,9908
140,34.0,0.021379718,10595
150,33.0,0.022538482,11285
160,34.0,0.023929391,11984
170,36.0,0.025224021,12683
180,37.0,0.026780606,13384
190,38.0,0.027983844,14094
200,41.0,0.029233022,14792
210,42.0,0.030881488,15491
220,42.0,0.032509916,16169
230,42.0,0.034086539,16868
240,41.0,0.035215491,17562
250,42.0,0.037136665,18264
260,43.0,0.038794417,18955
270,46.0,0.040184348,19653
280,48.0,0.041951085,20349
290,47.0,0.043085413,21034
300,49.0,0.044270568,21748
310,50.0,0.045844748,22446
320,49.0,0.047803065,23143
330,50.0,0.049003371,23836
340,50.0,0.050600521,24525
350,51.0,0.051888797,25230
360,53.0,0.053428277,25928
370,53.0,0.054937457,26638
380,52.0,0.056205207,27336
390,52.0,0.05800029,28028
400,51.0,0.059226987,28729
410,51.0,0.062113879,29447
420,52.0,0.063634788,30143
430,51.0,0.065302803,30833
440,51.0,0.066944427,31529
450,53.0,0.068208755,32224
460,53.0,0.069678837,32925
470,53.0,0.071399146,33616
480,52.0,0.072465542,34302
490,53.0,0.073633592,35013
500,52.0,0.074744461,35706
510,54.0,0.076080143,36393
520,53.0,0.077661165,37089
530,52.0,0.078722673,37774
540,53.0,0.080605237,38479
550,52.0,0.081642309,39164
560,52.0,0.083154421,39862
570,51.0,0.084752548,40556
580,51.0,0.085897628,41266
590,51.0,0.087391168,41952
600,54.0,0.088664783,42649
610,51.0,0.089931556,43355
620,52.0,0.091586375,44061
630,54.0,0.093397097,44773
640,54.0,0.094471312,45461
650,53.0,0.096145192,46174
660,52.0,0.097419295,46877
670,56.0,0.098851256,47577
680,55.0,0.100358969,48268
690,54.0,0.101473259,48970
700,55.0,0.102708753,49678
710,59.0,0.10425752,50376
720,59.0,0.105517451,51083
730,59.0,0.107017345,51788
740,60.0,0.108143853,52477
750,59.0,0.109445814,53179
760,58.0,0.110881685,53865
770,59.0,0.112088345,54562
780,60.0,0.113731435,55271
790,61.0,0.115128697,55966
800,63.0,0.116294304,56649
810,63.0,0.117546415,57346
820,62.0,0.119625935,58047
830,66.0,0.120924963,58753
840,63.0,0.122203954,59466
850,63.0,0.123323132,60162
860,63.0,0.124792236,60864
870,60.0,0.126427994,61566
880,60.0,0.127830143,62253
890,61.0,0.129611053,62937
900,64.0,0.130939893,63640
910,65.0,0.13243099,64342
920,65.0,0.133842913,65041
930,65.0,0.135385326,65743
940,66.0,0.136954618,66438
950,66.0,0.138710114,67128
960,65.0,0.140113729,67837
970,65.0,0.141545201,68540
980,65.0,0.142703477,69234
990,64.0,0.144258108,69940
1000,64.0,0.145783905,70643
