iterations,fitness,time,fevals
0,23.0,0.001724218,685
10,25.0,0.003259788,1258
20,26.0,0.004744043,1818
30,26.0,0.006064087,2390
40,27.0,0.007688605,2973
50,28.0,0.009105416,3551
60,28.0,0.010451362,4130
70,29.0,0.012531371,4712
80,29.0,0.013762467,5278
90,29.0,0.015108413,5865
100,30.0,0.016742706,6450
110,30.0,0.018185908,7050
120,29.0,0.019411628,7633
130,30.0,0.020798626,8208
140,31.0,0.021971563,8795
150,30.0,0.023424539,9367
160,31.0,0.024723078,9934
170,30.0,0.02612425,10509
180,31.0,0.027874859,11085
190,32.0,0.029001856,11658
200,31.0,0.030470961,12229
210,32.0,0.031832545,12806
220,32.0,0.032918001,13384
230,32.0,0.03405575,13958
240,32.0,0.035355756,14542
250,31.0,0.036653318,15115
260,32.0,0.038537837,15692
270,33.0,0.039768933,16265
280,32.0,0.041492662,16848
290,36.0,0.043222256,17438
300,39.0,0.044923992,18016
310,52.0,0.046513811,18604
320,53.0,0.047899343,19189
330,52.0,0.049086942,19767
340,53.0,0.051238793,20368
350,52.0,0.052222105,20946
360,51.0,0.05346102,21519
370,56.0,0.054704334,22092
380,56.0,0.056342048,22680
390,56.0,0.057483219,23253
400,56.0,0.058561833,23826
410,57.0,0.060797745,24402
420,57.0,0.062536136,24985
430,57.0,0.065282765,25566
440,58.0,0.068253229,26140
450,65.0,0.070134327,26715
460,65.0,0.072053546,27300
470,66.0,0.074460022,27876
480,69.0,0.076387549,28448
490,67.0,0.079315982,29035
500,69.0,0.081434601,29610
510,69.0,0.083485775,30175
520,70.0,0.085267663,30746
530,70.0,0.087690268,31327
540,70.0,0.089448208,31918
550,69.0,0.091041448,32471
560,70.0,0.092724124,33052
570,69.0,0.09501966,33621
580,69.0,0.09614959,34185
590,69.0,0.097449596,34751
600,69.0,0.098753023,35327
610,70.0,0.100199157,35910
620,71.0,0.101754277,36494
630,69.0,0.102651574,37067
640,68.0,0.103566954,37655
650,68.0,0.105277488,38241
660,68.0,0.107047646,38814
670,67.0,0.108931188,39405
680,68.0,0.110077734,39984
690,67.0,0.111467177,40566
700,70.0,0.112558498,41138
710,73.0,0.114091625,41706
720,73.0,0.119861988,42279
730,72.0,0.120871692,42860
740,74.0,0.121927336,43434
750,73.0,0.122842228,44017
760,72.0,0.123733172,44592
770,75.0,0.124665169,45174
780,71.0,0.12551897,45765
790,71.0,0.126496418,46335
800,72.0,0.127390294,46925
810,74.0,0.128273418,47510
820,71.0,0.129301205,48091
830,73.0,0.130724858,48665
840,74.0,0.13249355,49235
850,73.0,0.133769608,49807
860,72.0,0.13509405,50383
870,71.0,0.136150672,50976
880,71.0,0.137455076,51567
890,70.0,0.138690081,52146
900,70.0,0.139723243,52727
910,73.0,0.141273964,53322
920,73.0,0.142489909,53904
930,73.0,0.1435392,54484
940,70.0,0.144677927,55064
950,72.0,0.146160715,55643
960,71.0,0.147126922,56212
970,74.0,0.148578432,56786
980,73.0,0.149501143,57370
990,74.0,0.150583667,57947
1000,74.0,0.151986305,58530
